zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
98102,242.0,137.0,2350.0,407.0,177907.0,126154.0
98103,499.0,104.0,5546.0,268.0,326408.0,65961.0
98104,62.0,40.0,520.0,94.0,34628.0,35835.0
98105,223.0,99.0,2132.0,280.0,136568.0,87690.0
98106,106.0,15.0,985.0,63.0,45329.0,4675.0
98107,219.0,52.0,2680.0,187.0,137920.0,32480.0
98108,63.0,18.0,536.0,81.0,26849.0,12094.0
98109,148.0,92.0,1524.0,262.0,86435.0,72835.0
98110,219.0,73.0,1912.0,235.0,176564.0,51657.0
98111,7.0,3.0,26.0,3.0,2861.0,3025.0
98112,193.0,185.0,1711.0,417.0,170782.0,255320.0
98113,1.0,0.0,6.0,0.0,1100.0,0.0
98115,363.0,131.0,3706.0,432.0,198813.0,93709.0
98116,161.0,69.0,2033.0,269.0,117932.0,49627.0
98117,238.0,110.0,2216.0,322.0,150510.0,65317.0
98118,196.0,62.0,1894.0,243.0,113528.0,25254.0
98119,165.0,111.0,1799.0,298.0,117909.0,141828.0
98121,81.0,68.0,865.0,173.0,60043.0,65177.0
98122,327.0,133.0,3227.0,498.0,249744.0,66359.0
98124,7.0,3.0,54.0,14.0,3349.0,2325.0
98125,202.0,44.0,2241.0,177.0,111248.0,13002.0
98126,108.0,37.0,1375.0,123.0,76302.0,12252.0
98127,10.0,2.0,42.0,6.0,2968.0,3100.0
98132,1.0,0.0,2.0,0.0,70.0,0.0
98133,193.0,42.0,2487.0,151.0,98665.0,6488.0
98134,6.0,0.0,90.0,0.0,2526.0,0.0
98135,1.0,0.0,7.0,0.0,1773.0,0.0
98136,94.0,43.0,1173.0,84.0,65208.0,33601.0
98138,0.0,1.0,0.0,1.0,0.0,1000.0
98139,5.0,2.0,36.0,3.0,6048.0,3450.0
98141,2.0,0.0,12.0,0.0,565.0,0.0
98144,196.0,87.0,1893.0,226.0,118673.0,83596.0
98145,11.0,1.0,40.0,6.0,6816.0,79.0
98146,64.0,19.0,761.0,73.0,49141.0,14815.0
98148,11.0,3.0,113.0,5.0,5625.0,500.0
98154,1.0,2.0,8.0,4.0,110.0,2725.0
98155,154.0,42.0,1590.0,229.0,84827.0,26382.0
98164,0.0,1.0,0.0,1.0,0.0,2700.0
98165,2.0,0.0,6.0,0.0,1030.0,0.0
98166,59.0,21.0,505.0,58.0,27528.0,14584.0
98168,48.0,8.0,509.0,51.0,16880.0,4882.0
98175,2.0,1.0,4.0,1.0,270.0,15.0
98177,94.0,48.0,981.0,136.0,62303.0,39722.0
98178,35.0,19.0,372.0,56.0,19029.0,11643.0
