,zip,CAND,TRANSACTION_AMT
1017,02359,H.C.,3994
1018,02360,B.S.,26457
1019,02360,H.C.,16125
1020,02361,B.S.,5365
1021,02364,B.S.,7205
1022,02364,H.C.,3492
1023,02367,B.S.,1372
1024,02368,B.S.,4230
1025,02368,H.C.,575
1026,02370,B.S.,4039
1027,02370,H.C.,400
1028,02375,B.S.,715
1029,02375,H.C.,13685
1030,02379,B.S.,590
1031,02379,H.C.,200
1032,02381,B.S.,50
1033,02382,B.S.,1083
1034,02382,H.C.,2926
1035,02420,B.S.,47330
1036,02420,H.C.,43217
1037,02421,B.S.,71063
1038,02421,H.C.,92097
1039,02431,B.S.,50
1040,02445,B.S.,91335
1041,02445,H.C.,226592
1042,02446,B.S.,92988
1043,02446,H.C.,132812
1044,02447,B.S.,50
1045,02450,B.S.,54
1046,02451,B.S.,24658
1047,02451,H.C.,9433
1048,02452,B.S.,11870
1049,02452,H.C.,1436
1050,02453,B.S.,26169
1051,02453,H.C.,17957
1052,02454,B.S.,896
1053,02454,H.C.,5400
1054,02458,B.S.,32696
1055,02458,H.C.,61943
1056,02459,B.S.,77034
1057,02459,H.C.,111216
1058,02460,B.S.,25468
1059,02460,H.C.,16473
1060,02461,B.S.,33945
1061,02461,H.C.,28117
1062,02462,B.S.,460
1063,02462,H.C.,11069
1064,02464,B.S.,4847
1065,02464,H.C.,9305
1066,02465,B.S.,20886
1067,02465,H.C.,63437
1068,02466,B.S.,21985
1069,02466,H.C.,26409
1070,02467,B.S.,59639
1071,02467,H.C.,188518
1072,02468,B.S.,9375
1073,02468,H.C.,107061
1074,02471,B.S.,165
1075,02472,B.S.,81622
1076,02472,H.C.,38306
1077,02474,B.S.,95184
1078,02474,H.C.,30057
1079,02476,B.S.,68940
1080,02476,H.C.,29839
1081,02478,B.S.,95517
1082,02478,H.C.,167252
1083,02479,H.C.,35
1084,02481,B.S.,23081
1085,02481,H.C.,125269
1086,02482,B.S.,44049
